ID,message_index,message_dialogue,next,is_choice,choice1_dialogue,choice1_next,choice2_dialogue,choice2_next,choice3_dialogue,choice3_next,sudden_event
diag_000006,index_005,text_diag_000006_006,index_006,FALSE,-,-,-,-,-,-,-
diag_000006,index_006,text_diag_000006_007,index_007,FALSE,-,-,-,-,-,-,-
diag_000006,index_007,text_diag_000006_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000006,index_008,text_diag_000006_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000006,index_009,text_diag_000006_010,END,FALSE,-,-,-,-,-,-,event_000022
diag_000006,index_010,text_diag_000006_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000006,index_011,text_diag_000006_013,index_012,FALSE,-,-,-,-,-,-,-
diag_000006,index_012,text_diag_000006_014,index_013,FALSE,-,-,-,-,-,-,-
diag_000006,index_013,text_diag_000006_015,index_014,FALSE,-,-,-,-,-,-,-
diag_000006,index_014,text_diag_000006_016,index_015,FALSE,-,-,-,-,-,-,-
diag_000006,index_015,text_diag_000006_017,index_016,FALSE,-,-,-,-,-,-,-
diag_000006,index_016,text_diag_000006_018,index_017,FALSE,-,-,-,-,-,-,-
diag_000006,index_017,text_diag_000006_019,index_018,FALSE,-,-,-,-,-,-,-
diag_000006,index_018,text_diag_000006_020,index_019,FALSE,-,-,-,-,-,-,-
diag_000006,index_019,text_diag_000006_021,END,FALSE,-,-,-,-,-,-,event_000009
diag_000006,index_020,text_diag_000006_023,index_021,FALSE,-,-,-,-,-,-,-
diag_000006,index_021,text_diag_000006_024,index_022,FALSE,-,-,-,-,-,-,-
diag_000006,index_022,text_diag_000006_025,index_023,FALSE,-,-,-,-,-,-,-
diag_000006,index_023,text_diag_000006_026,index_024,FALSE,-,-,-,-,-,-,-
diag_000006,index_024,text_diag_000006_027,index_025,FALSE,-,-,-,-,-,-,-
diag_000006,index_025,text_diag_000006_028,index_026,FALSE,-,-,-,-,-,-,-
diag_000006,index_026,text_diag_000006_029,index_027,FALSE,-,-,-,-,-,-,-
diag_000006,index_027,text_diag_000006_030,index_028,FALSE,-,-,-,-,-,-,-
diag_000006,index_028,text_diag_000006_031,index_029,FALSE,-,-,-,-,-,-,-
diag_000006,index_029,text_diag_000006_032,index_030,FALSE,-,-,-,-,-,-,-
diag_000006,index_030,text_diag_000006_033,index_031,FALSE,-,-,-,-,-,-,-
diag_000006,index_031,text_diag_000006_034,index_032,FALSE,-,-,-,-,-,-,-
diag_000006,index_032,text_diag_000006_035,index_033,FALSE,-,-,-,-,-,-,-
diag_000006,index_033,text_diag_000006_036,index_034,FALSE,-,-,-,-,-,-,-
diag_000006,index_034,text_diag_000006_037,index_035,FALSE,-,-,-,-,-,-,-
diag_000006,index_035,text_diag_000006_038,index_036,FALSE,-,-,-,-,-,-,-
diag_000006,index_036,text_diag_000006_039,index_037,FALSE,-,-,-,-,-,-,-
diag_000006,index_037,text_diag_000006_040,END,FALSE,-,-,-,-,-,-,event_000001
diag_000007,index_000,text_diag_000007_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000007,index_001,text_diag_000007_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000007,index_002,text_diag_000007_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000007,index_003,text_diag_000007_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000007,index_004,text_diag_000007_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000007,index_005,text_diag_000007_005,END,FALSE,-,-,-,-,-,-,event_000021
diag_000008,index_000,text_diag_000008_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000008,index_001,text_diag_000008_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000008,index_002,text_diag_000008_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000008,index_003,text_diag_000008_003,-,TRUE,text_diag_000008_004,index_004,text_diag_000008_011,index_010,-,-,-
diag_000008,index_004,text_diag_000008_005,index_005,FALSE,-,-,-,-,-,-,-
diag_000008,index_005,text_diag_000008_006,index_006,FALSE,-,-,-,-,-,-,-
diag_000008,index_006,text_diag_000008_007,index_007,FALSE,-,-,-,-,-,-,-
diag_000008,index_007,text_diag_000008_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000008,index_008,text_diag_000008_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000008,index_009,text_diag_000008_010,END,FALSE,-,-,-,-,-,-,event_000003
diag_000008,index_010,text_diag_000008_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000008,index_011,text_diag_000008_013,index_012,FALSE,-,-,-,-,-,-,-
diag_000008,index_012,text_diag_000008_014,index_013,FALSE,-,-,-,-,-,-,-
diag_000008,index_013,text_diag_000008_015,index_014,FALSE,-,-,-,-,-,-,-
diag_000008,index_014,text_diag_000008_016,index_015,FALSE,-,-,-,-,-,-,-
diag_000008,index_015,text_diag_000008_017,index_016,FALSE,-,-,-,-,-,-,-
diag_000008,index_016,text_diag_000008_018,index_017,FALSE,-,-,-,-,-,-,-
diag_000008,index_017,text_diag_000008_019,index_018,FALSE,-,-,-,-,-,-,-
diag_000008,index_018,text_diag_000008_020,END,FALSE,-,-,-,-,-,-,-
diag_000009,index_000,text_diag_000009_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000009,index_001,text_diag_000009_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000009,index_002,text_diag_000009_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000009,index_003,text_diag_000009_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000009,index_004,text_diag_000009_004,-,TRUE,text_diag_000009_005,index_005,text_diag_000009_010,index_009,text_diag_000009_013,index_011,-
diag_000009,index_005,text_diag_000009_006,index_006,FALSE,-,-,-,-,-,-,-
diag_000009,index_006,text_diag_000009_007,index_007,FALSE,-,-,-,-,-,-,-
diag_000009,index_007,text_diag_000009_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000009,index_008,text_diag_000009_009,END,FALSE,-,-,-,-,-,-,-
diag_000009,index_009,text_diag_000009_011,index_010,FALSE,-,-,-,-,-,-,-
diag_000009,index_010,text_diag_000009_012,END,FALSE,-,-,-,-,-,-,-
diag_000009,index_011,text_diag_000009_014,index_012,FALSE,-,-,-,-,-,-,-
diag_000009,index_012,text_diag_000009_015,index_013,FALSE,-,-,-,-,-,-,-
diag_000009,index_013,text_diag_000009_016,index_014,FALSE,-,-,-,-,-,-,-
diag_000009,index_014,text_diag_000009_017,index_015,FALSE,-,-,-,-,-,-,-
diag_000009,index_015,text_diag_000009_018,index_016,FALSE,-,-,-,-,-,-,-
diag_000009,index_016,text_diag_000009_019,index_017,FALSE,-,-,-,-,-,-,-
diag_000009,index_017,text_diag_000009_020,index_018,FALSE,-,-,-,-,-,-,-
diag_000009,index_018,text_diag_000009_021,index_019,FALSE,-,-,-,-,-,-,-
diag_000009,index_019,text_diag_000009_022,index_020,FALSE,-,-,-,-,-,-,-
diag_000009,index_020,text_diag_000009_023,index_021,FALSE,-,-,-,-,-,-,-
diag_000009,index_021,text_diag_000009_024,index_022,FALSE,-,-,-,-,-,-,-
diag_000009,index_022,text_diag_000009_025,index_023,FALSE,-,-,-,-,-,-,-
diag_000009,index_023,text_diag_000009_026,END,FALSE,-,-,-,-,-,-,-
diag_000010,index_000,text_diag_000010_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000010,index_001,text_diag_000010_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000010,index_002,text_diag_000010_002,-,TRUE,text_diag_000010_003,index_003,text_diag_000010_008,index_007,-,-,-
diag_000010,index_003,text_diag_000010_004,index_004,FALSE,-,-,-,-,-,-,-
diag_000010,index_004,text_diag_000010_005,index_005,FALSE,-,-,-,-,-,-,-
diag_000010,index_005,text_diag_000010_006,index_006,FALSE,-,-,-,-,-,-,-
diag_000010,index_006,text_diag_000010_007,END,FALSE,-,-,-,-,-,-,-
diag_000010,index_007,text_diag_000010_009,index_008,FALSE,-,-,-,-,-,-,-
diag_000010,index_008,text_diag_000010_010,index_009,FALSE,-,-,-,-,-,-,-
diag_000010,index_009,text_diag_000010_011,index_010,FALSE,-,-,-,-,-,-,-
diag_000010,index_010,text_diag_000010_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000010,index_011,text_diag_000010_013,END,FALSE,-,-,-,-,-,-,-
diag_000011,index_000,text_diag_000011_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000011,index_001,text_diag_000011_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000011,index_002,text_diag_000011_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000011,index_003,text_diag_000011_003,-,TRUE,text_diag_000011_004,index_004,text_diag_000011_007,index_006,-,-,-
diag_000011,index_004,text_diag_000011_005,index_005,FALSE,-,-,-,-,-,-,-
diag_000011,index_005,text_diag_000011_006,END,FALSE,-,-,-,-,-,-,-
diag_000011,index_006,text_diag_000011_008,index_007,FALSE,-,-,-,-,-,-,-
diag_000011,index_007,text_diag_000011_009,index_008,FALSE,-,-,-,-,-,-,-
diag_000011,index_008,text_diag_000011_010,index_009,FALSE,-,-,-,-,-,-,-
diag_000011,index_009,text_diag_000011_011,index_010,FALSE,-,-,-,-,-,-,-
diag_000011,index_010,text_diag_000011_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000011,index_011,text_diag_000011_013,END,FALSE,-,-,-,-,-,-,-
diag_000012,index_000,text_diag_000012_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000012,index_001,text_diag_000012_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000012,index_002,text_diag_000012_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000012,index_003,text_diag_000012_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000012,index_004,text_diag_000012_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000012,index_005,text_diag_000012_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000012,index_006,text_diag_000012_006,index_007,FALSE,-,-,-,-,-,-,-
diag_000012,index_007,text_diag_000012_007,index_008,FALSE,-,-,-,-,-,-,-
diag_000012,index_008,text_diag_000012_008,-,TRUE,text_diag_000012_009,index_009,text_diag_000012_013,index_012,-,-,-
diag_000012,index_009,text_diag_000012_010,index_010,FALSE,-,-,-,-,-,-,-
diag_000012,index_010,text_diag_000012_011,index_011,FALSE,-,-,-,-,-,-,-
diag_000012,index_011,text_diag_000012_012,END,FALSE,-,-,-,-,-,-,event_000022
diag_000012,index_012,text_diag_000012_014,index_013,FALSE,-,-,-,-,-,-,-
diag_000012,index_013,text_diag_000012_015,index_014,FALSE,-,-,-,-,-,-,-
diag_000012,index_014,text_diag_000012_016,index_015,FALSE,-,-,-,-,-,-,-
diag_000012,index_015,text_diag_000012_017,index_016,FALSE,-,-,-,-,-,-,-
diag_000012,index_016,text_diag_000012_018,index_017,FALSE,-,-,-,-,-,-,-
diag_000012,index_017,text_diag_000012_019,END,FALSE,-,-,-,-,-,-,-
diag_000013,index_000,text_diag_000013_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000013,index_001,text_diag_000013_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000013,index_002,text_diag_000013_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000013,index_003,text_diag_000013_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000013,index_004,text_diag_000013_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000013,index_005,text_diag_000013_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000013,index_006,text_diag_000013_006,-,TRUE,text_diag_000013_007,index_007,text_diag_000013_014,index_013,-,-,-
diag_000013,index_007,text_diag_000013_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000013,index_008,text_diag_000013_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000013,index_009,text_diag_000013_010,index_010,FALSE,-,-,-,-,-,-,-
diag_000013,index_010,text_diag_000013_011,index_011,FALSE,-,-,-,-,-,-,-
diag_000013,index_011,text_diag_000013_012,index_012,FALSE,-,-,-,-,-,-,-
diag_000013,index_012,text_diag_000013_013,END,FALSE,-,-,-,-,-,-,-
diag_000013,index_013,text_diag_000013_015,index_014,FALSE,-,-,-,-,-,-,-
diag_000013,index_014,text_diag_000013_016,index_015,FALSE,-,-,-,-,-,-,-
diag_000013,index_015,text_diag_000013_017,index_016,FALSE,-,-,-,-,-,-,-
diag_000013,index_016,text_diag_000013_018,END,FALSE,-,-,-,-,-,-,-
diag_000014,index_000,text_diag_000014_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000014,index_001,text_diag_000014_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000014,index_002,text_diag_000014_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000014,index_003,text_diag_000014_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000014,index_004,text_diag_000014_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000014,index_005,text_diag_000014_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000014,index_006,text_diag_000014_006,index_007,TRUE,text_diag_000014_007,index_007,text_diag_000014_011,index_010,text_diag_000014_017,index_015,-
diag_000014,index_007,text_diag_000014_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000014,index_008,text_diag_000014_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000014,index_009,text_diag_000014_010,END,FALSE,-,-,-,-,-,-,event_000023
diag_000014,index_010,text_diag_000014_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000014,index_011,text_diag_000014_013,index_012,FALSE,-,-,-,-,-,-,-
diag_000014,index_012,text_diag_000014_014,index_013,FALSE,-,-,-,-,-,-,-
diag_000014,index_013,text_diag_000014_015,index_014,FALSE,-,-,-,-,-,-,-
diag_000014,index_014,text_diag_000014_016,END,FALSE,-,-,-,-,-,-,event_000024
diag_000014,index_015,text_diag_000014_018,index_016,FALSE,-,-,-,-,-,-,-
diag_000014,index_016,text_diag_000014_019,index_017,FALSE,-,-,-,-,-,-,-
diag_000014,index_017,text_diag_000014_020,index_018,FALSE,-,-,-,-,-,-,-
diag_000014,index_018,text_diag_000014_021,index_019,FALSE,-,-,-,-,-,-,-
diag_000014,index_019,text_diag_000014_022,index_020,FALSE,-,-,-,-,-,-,-
diag_000014,index_020,text_diag_000014_023,index_021,FALSE,-,-,-,-,-,-,-
diag_000014,index_021,text_diag_000014_024,END,FALSE,-,-,-,-,-,-,event_000025
diag_000015,index_000,text_diag_000015_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000015,index_001,text_diag_000015_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000015,index_002,text_diag_000015_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000015,index_003,text_diag_000015_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000015,index_004,text_diag_000015_004,-,TRUE,text_diag_000015_005,index_005,text_diag_000015_015,index_014,text_diag_000015_020,index_018,-
diag_000015,index_005,text_diag_000015_006,index_006,FALSE,-,-,-,-,-,-,-
diag_000015,index_006,text_diag_000015_007,index_007,FALSE,-,-,-,-,-,-,-
diag_000015,index_007,text_diag_000015_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000015,index_008,text_diag_000015_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000015,index_009,text_diag_000015_010,index_010,FALSE,-,-,-,-,-,-,-
diag_000015,index_010,text_diag_000015_011,index_011,FALSE,-,-,-,-,-,-,-
diag_000015,index_011,text_diag_000015_012,index_012,FALSE,-,-,-,-,-,-,-
diag_000015,index_012,text_diag_000015_013,index_013,FALSE,-,-,-,-,-,-,-
diag_000015,index_013,text_diag_000015_014,END,FALSE,-,-,-,-,-,-,event_000007
diag_000015,index_014,text_diag_000015_016,index_015,FALSE,-,-,-,-,-,-,-
diag_000015,index_015,text_diag_000015_017,index_016,FALSE,-,-,-,-,-,-,-
diag_000015,index_016,text_diag_000015_018,index_017,FALSE,-,-,-,-,-,-,-
diag_000015,index_017,text_diag_000015_019,END,FALSE,-,-,-,-,-,-,event_000007
diag_000015,index_018,text_diag_000015_021,index_019,FALSE,-,-,-,-,-,-,-
diag_000015,index_019,text_diag_000015_022,index_020,FALSE,-,-,-,-,-,-,-
diag_000015,index_020,text_diag_000015_023,index_021,FALSE,-,-,-,-,-,-,-
diag_000015,index_021,text_diag_000015_024,index_022,FALSE,-,-,-,-,-,-,-
diag_000015,index_022,text_diag_000015_025,index_023,FALSE,-,-,-,-,-,-,-
diag_000015,index_023,text_diag_000015_026,index_024,FALSE,-,-,-,-,-,-,-
diag_000015,index_024,text_diag_000015_027,index_025,FALSE,-,-,-,-,-,-,-
diag_000015,index_025,text_diag_000015_028,END,FALSE,-,-,-,-,-,-,event_000007
diag_000016,index_000,text_diag_000016_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000016,index_001,text_diag_000016_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000016,index_002,text_diag_000016_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000016,index_003,text_diag_000016_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000016,index_004,text_diag_000016_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000016,index_005,text_diag_000016_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000016,index_006,text_diag_000016_006,index_007,FALSE,-,-,-,-,-,-,-
diag_000016,index_007,text_diag_000016_007,index_008,FALSE,-,-,-,-,-,-,-
diag_000016,index_008,text_diag_000016_008,index_009,FALSE,-,-,-,-,-,-,-
diag_000016,index_009,text_diag_000016_009,-,TRUE,text_diag_000016_010,index_010,text_diag_000016_017,index_016,text_diag_000016_027,index_025,-
diag_000016,index_010,text_diag_000016_011,index_011,FALSE,-,-,-,-,-,-,-
diag_000016,index_011,text_diag_000016_012,index_012,FALSE,-,-,-,-,-,-,-
diag_000016,index_012,text_diag_000016_013,index_013,FALSE,-,-,-,-,-,-,-
diag_000016,index_013,text_diag_000016_014,index_014,FALSE,-,-,-,-,-,-,-
diag_000016,index_014,text_diag_000016_015,index_015,FALSE,-,-,-,-,-,-,-
diag_000016,index_015,text_diag_000016_016,END,FALSE,-,-,-,-,-,-,event_000011
diag_000016,index_016,text_diag_000016_018,index_017,FALSE,-,-,-,-,-,-,-
diag_000016,index_017,text_diag_000016_019,index_018,FALSE,-,-,-,-,-,-,-
diag_000016,index_018,text_diag_000016_020,index_019,FALSE,-,-,-,-,-,-,-
diag_000016,index_019,text_diag_000016_021,index_020,FALSE,-,-,-,-,-,-,-
diag_000016,index_020,text_diag_000016_022,index_021,FALSE,-,-,-,-,-,-,-
diag_000016,index_021,text_diag_000016_023,index_022,FALSE,-,-,-,-,-,-,-
diag_000016,index_022,text_diag_000016_024,index_023,FALSE,-,-,-,-,-,-,-
diag_000016,index_023,text_diag_000016_025,index_024,FALSE,-,-,-,-,-,-,-
diag_000016,index_024,text_diag_000016_026,END,FALSE,-,-,-,-,-,-,-
diag_000016,index_025,text_diag_000016_028,index_026,FALSE,-,-,-,-,-,-,-
diag_000016,index_026,text_diag_000016_029,index_027,FALSE,-,-,-,-,-,-,-
diag_000016,index_027,text_diag_000016_030,index_028,FALSE,-,-,-,-,-,-,-
