id,name,context,condition,category,scope,target_min,target_max,term_min,term_max,is_trigger,trigger_status1,trigger_condition1,trigger_threshold1,trigger_status2,trigger_condition2,trigger_threshold2,term_scale,effect1,effect2,effect3,is_probable,probability,description
event_000010,컨디션 감소,PostProcess,School,Negative | Body | Mind,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_condition_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000011,지구력 성장,PostProcess,School,Positive | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_stamina_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000012,지구력 약화,PostProcess,School,Negative | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_stamina_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000013,자금 획득,PostProcess,School,Positive,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_money_p5,-,-,FALSE,1,text_SuddenEvent_000003
event_000014,자금 손실,PostProcess,School,Negative,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_money_m5,-,-,FALSE,1,text_SuddenEvent_000004
event_000015,명성치 증가,PostProcess,School,Positive,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_fame_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000016,명성치 감소,PostProcess,School,Negative,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_fame_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000017,랜덤 스탯 증가,PostProcess,School,Positive | Body | Mind,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_randomPlayerStat_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000018,랜덤 스탯 감소,PostProcess,School,Negative | Body | Mind,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_randomPlayerStat_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000019,넘치는 힘,PostProcess,School,Neutral | Body | Mind,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_speed_p5,event_effect_1_stamina_p5,event_effect_1_condition_m5,FALSE,1,text_SuddenEvent_000009
event_000020,운동기구 파손,PostProcess,School,Negative,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_money_m10,-,-,FALSE,1,text_SuddenEvent_000004
event_000021,농구부 회식,PostProcess,School,Positive | Body | Mind,Member,20,21,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_condition_p10,event_effect_1_experience_p10,-,FALSE,1,text_SuddenEvent_000008
event_000022,개인 특별 훈련,PostProcess,School,Neutral | Body | Mind,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_randomPlayerStat_p5,event_effect_1_stamina_p5,event_effect_1_condition_m5,FALSE,1,text_SuddenEvent_000009
event_000023,단체 특별 휴식,PostProcess,School,Positive | Body | Mind,Member,20,21,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_condition_p10,-,-,FALSE,1,text_SuddenEvent_000012
event_000024,전술 분석,PostProcess,School,Positive | Body ,Member,20,21,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_shoot_p10,event_effect_1_jump_p10,-,FALSE,1,text_SuddenEvent_000014
event_000025,단체 특별 훈련,PostProcess,School,Positive | Body ,Member,20,21,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_randomPlayerStat_p5,event_effect_1_stamina_p5,event_effect_1_condition_m5,FALSE,1,text_SuddenEvent_000015
event_000026,학부모 기금,PostProcess,School,Positive,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_money_p20,-,-,FALSE,1,text_SuddenEvent_000003
event_001001,부담감,PostProcess,Match,Negative | Body | Mental,Team_Key_Member,1,5,1,4,TRUE,condition,less,90,condition,or_more,80,Quarter,event_effect_1_randomPlayerStat_m3,-,-,TRUE,0.2,text_SuddenEvent_000004
event_001001,부담감,PostProcess,Match,Negative | Body | Mental,Team_Key_Member,1,5,1,4,TRUE,condition,less,80,condition,or_more,70,Quarter,event_effect_1_randomPlayerStat_m3,-,-,TRUE,0.6,text_SuddenEvent_000004
event_001001,부담감,PostProcess,Match,Negative | Body | Mental,Team_Key_Member,1,5,1,4,TRUE,condition,less,70,none,none,-1,Quarter,event_effect_1_randomPlayerStat_m3,-,-,TRUE,0.8,text_SuddenEvent_000004
event_001002,부상(운동),PostProcess,Exercise,Negative | Body,Member,1,2,1,7,TRUE,condition,less,80,condition,or_more,60,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.2,text_SuddenEvent_000005
event_001002,부상(운동),PostProcess,Exercise,Negative | Body,Member,1,2,1,7,TRUE,condition,less,60,condition,or_more,40,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.5,text_SuddenEvent_000005
event_001002,부상(운동),PostProcess,Exercise,Negative | Body,Member,1,2,1,7,TRUE,condition,less,40,condition,or_more,20,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.7,text_SuddenEvent_000005
event_001002,부상(운동),PostProcess,Exercise,Negative | Body,Member,1,2,1,7,TRUE,condition,less,20,none,none,-1,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,FALSE,1,text_SuddenEvent_000005
event_001002,부상(경기),PostProcess,Match,Negative | Body,Team_Key_Member,1,2,1,3,TRUE,condition,less,80,condition,or_more,60,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.2,text_SuddenEvent_000005
event_001002,부상(경기),PostProcess,Match,Negative | Body,Team_Key_Member,1,2,1,7,TRUE,condition,less,60,condition,or_more,40,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.5,text_SuddenEvent_000005
event_001002,부상(경기),PostProcess,Match,Negative | Body,Team_Key_Member,1,2,3,7,TRUE,condition,less,40,condition,or_more,20,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.7,text_SuddenEvent_000005
event_001002,부상(경기),PostProcess,Match,Negative | Body,Team_Key_Member,1,2,7,28,TRUE,condition,less,20,none,none,-1,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,FALSE,1,text_SuddenEvent_000005
event_001003,질병(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,1,7,FALSE,none,none,-1,none,none,-1,none,event_effect_1_unable_training_p1,event_effect_1_unable_match_p1,-,FALSE,1,text_SuddenEvent_100001
event_001004,질병(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,3,7,FALSE,none,none,-1,none,none,-1,none,event_effect_1_unable_training_p1,event_effect_1_unable_match_p1,-,FALSE,1,text_SuddenEvent_100001
event_001005,질병(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,7,28,FALSE,none,none,-1,none,none,-1,none,event_effect_1_unable_training_p1,event_effect_1_unable_match_p1,-,FALSE,1,text_SuddenEvent_100001
event_001006,회복,PostProcess,School,Positive | Body | Mind,Member,1,2,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_unable_training_m1,event_effect_unable_match_m1,-,FALSE,1,text_SuddenEvent_000010
event_001007,부상(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,1,7,TRUE,condition,less,80,condition,or_more,60,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.2,text_diag_111001_000
event_001008,부상(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,1,7,TRUE,condition,less,60,condition,or_more,40,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.5,text_diag_111002_000
event_001009,부상(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,1,7,TRUE,condition,less,40,condition,or_more,20,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,TRUE,0.7,text_diag_111003_000
event_001010,부상(돌발이벤트),PostProcess,School,Negative | Body,Member,1,2,1,7,TRUE,condition,less,20,none,none,-1,Day,event_effect_1_unable_match_p1,event_effect_1_experience_m50,-,FALSE,1,text_diag_111004_000
event_100001,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000001_000
event_100002,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000002_000
event_100003,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000003_000
event_100004,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000004_000
event_100005,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000005_000
event_100006,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000006_000
event_100007,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000007_000
event_100008,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000008_000
event_100009,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000009_000
event_100010,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000010_000
event_100011,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000011_000
event_100012,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000012_000
event_100013,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000013_000
event_100014,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000014_000
event_100015,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000015_000
event_100016,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000016_000
event_100017,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000017_000
event_100018,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000018_000
event_100019,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000019_000
event_100020,새로운 메시지.,PostProcess,Daily,Neutral,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_000020_000
event_110001,[공지] 금일 지각자,PostProcess,Daily,Negative,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.075,text_diag_100001_000
event_110002,[공지] 학생 입원,PostProcess,Daily,Negative,Member,1,1,0,0,TRUE,condition,less,60,condition,or_more,40,Day,-,-,-,TRUE,0.1,text_diag_110000_000
event_110003,[공지] 학생 입원,PostProcess,Daily,Negative,Member,1,1,0,0,TRUE,condition,less,40,condition,or_more,20,Day,-,-,-,TRUE,0.2,text_diag_110001_000
event_110004,[공지] 학생 입원,PostProcess,Daily,Negative,Member,1,1,0,0,TRUE,condition,less,20,none,none,-1,Day,-,-,-,FALSE,1,text_diag_110002_000
event_001002,[공지] 학생 입원,PostProcess,Exercise,Negative | Body,Member,1,2,1,3,TRUE,condition,less,70,condition,or_more,50,Day,-,-,-,TRUE,0.2,text_diag_111001_000
event_001002,[공지] 학생 입원,PostProcess,Exercise,Negative | Body,Member,1,2,1,7,TRUE,condition,less,50,condition,or_more,30,Day,-,-,-,TRUE,0.5,text_diag_111002_000
event_001002,[공지] 학생 입원,PostProcess,Exercise,Negative | Body,Member,1,2,3,7,TRUE,condition,less,30,condition,or_more,10,Day,-,-,-,TRUE,0.7,text_diag_111003_000
event_001002,[공지] 학생 입원,PostProcess,Exercise,Negative | Body,Member,1,2,7,28,TRUE,condition,less,10,none,none,-1,Day,-,-,-,FALSE,1,text_diag_111004_000
event_120001,[공지] 간식 제공 행사 안내,PostProcess,Daily,Positive,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_200001_000
event_120002,[공지]지역 주민 감사장 수여 안내,PostProcess,Daily,Positive,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_200002_000
event_120003,[공지]특별 예산 지원 안내,PostProcess,Daily,Positive,Player,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,-,-,-,TRUE,0.1,text_diag_200003_000
